version,term_localName
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-InheritedName-2024-11-13,Unit-Owner-InheritedName
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-AtomisedName-Prefix-2024-11-13,Unit-Owner-AtomisedName-Prefix
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-AtomisedName-Suffix-2024-11-13,Unit-Owner-AtomisedName-Suffix
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-GivenNames-2024-11-13,Unit-Owner-GivenNames
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-PreferredName-2024-11-13,Unit-Owner-PreferredName
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Roles-2024-11-13,Unit-Owner-Roles
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Role-2024-11-13,Unit-Owner-Role
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Role-@language-2024-11-13,Unit-Owner-Role-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Addresses-2024-11-13,Unit-Owner-Addresses
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Address-2024-11-13,Unit-Owner-Address
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Address-@language-2024-11-13,Unit-Owner-Address-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Address-@preferred-2024-11-13,Unit-Owner-Address-@preferred
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-TelephoneNumbers-2024-11-13,Unit-Owner-TelephoneNumbers
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-TelephoneNumber-2024-11-13,Unit-Owner-TelephoneNumber
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-TelephoneNumber-@preferred-2024-11-13,Unit-Owner-TelephoneNumber-@preferred
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Number-2024-11-13,Unit-Owner-Number
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Device-2024-11-13,Unit-Owner-Device
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-UsageNotes-2024-11-13,Unit-Owner-UsageNotes
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-UsageNotes-@language-2024-11-13,Unit-Owner-UsageNotes-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-EmailAddresses-2024-11-13,Unit-Owner-EmailAddresses
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-EmailAddress-2024-11-13,Unit-Owner-EmailAddress
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-EmailAddress-@preferred-2024-11-13,Unit-Owner-EmailAddress-@preferred
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-URIs-2024-11-13,Unit-Owner-URIs
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-URI-2024-11-13,Unit-Owner-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-URI-@preferred-2024-11-13,Unit-Owner-URI-@preferred
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-LogoURI-2024-11-13,Unit-Owner-LogoURI
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRStatements-2024-11-13,Unit-IPRStatements
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclarations-2024-11-13,Unit-IPRDeclarations
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclaration-2024-11-13,Unit-IPRDeclaration
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclaration-@language-2024-11-13,Unit-IPRDeclaration-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclaration-Text-2024-11-13,Unit-IPRDeclaration-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclaration-Details-2024-11-13,Unit-IPRDeclaration-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-IPRDeclaration-URI-2024-11-13,Unit-IPRDeclaration-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyrights-2024-11-13,Unit-Copyrights
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyright-2024-11-13,Unit-Copyright
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyright-@language-2024-11-13,Unit-Copyright-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyright-Text-2024-11-13,Unit-Copyright-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyright-Details-2024-11-13,Unit-Copyright-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-Copyright-URI-2024-11-13,Unit-Copyright-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Licenses-2024-11-13,Unit-Licenses
http://rs.tdwg.org/abcd2/terms/version/Unit-License-2024-11-13,Unit-License
http://rs.tdwg.org/abcd2/terms/version/Unit-License-@language-2024-11-13,Unit-License-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-License-Text-2024-11-13,Unit-License-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-License-Details-2024-11-13,Unit-License-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-License-URI-2024-11-13,Unit-License-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatements-2024-11-13,Unit-TermsOfUseStatements
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatement-2024-11-13,Unit-TermsOfUseStatement
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatement-@language-2024-11-13,Unit-TermsOfUseStatement-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatement-Text-2024-11-13,Unit-TermsOfUseStatement-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatement-Details-2024-11-13,Unit-TermsOfUseStatement-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-TermsOfUseStatement-URI-2024-11-13,Unit-TermsOfUseStatement-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimers-2024-11-13,Unit-Disclaimers
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimer-2024-11-13,Unit-Disclaimer
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimer-@language-2024-11-13,Unit-Disclaimer-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimer-Text-2024-11-13,Unit-Disclaimer-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimer-Details-2024-11-13,Unit-Disclaimer-Details
http://rs.tdwg.org/abcd2/terms/version/Unit-Disclaimer-URI-2024-11-13,Unit-Disclaimer-URI
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgements-2024-11-13,Unit-Acknowledgements
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgement-2024-11-13,Unit-Acknowledgement
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgement-@language-2024-11-13,Unit-Acknowledgement-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgement-Text-2024-11-13,Unit-Acknowledgement-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-Acknowledgement-Details-2024-11-13,Unit-Acknowledgement-Details
