term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
SpecimenUnit-Mark-Images,Images,"An image or (rarely) images of the specimen's label or inscription, given as a reference to the ID of a multimedia object given for the unit.",,,Class,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/Marks/Mark/Images,,SpecimenUnit-Mark,2005-09-09,2005-09-09,
SpecimenUnit-Mark-ImageID,ImageID,"An image or (rarely) images of the specimen's label or inscription, given as a reference to the ID of a multimedia object given for the unit.",,,Property,SpecimenUnit,True,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/Marks/Mark/Images/ImageID,,SpecimenUnit-Mark-Images,2005-09-09,2005-09-09,
SpecimenUnit-History,History,A wrapper for previous units.,,,Class,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History,,SpecimenUnit,2005-09-09,2005-09-09,
PreviousUnits,PreviousUnits,A container element for several previous identifiers and locations for this unit.,,,Class,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits,,SpecimenUnit-History,2005-09-09,2005-09-09,
PreviousUnit,PreviousUnit,"A container for the history of this specimen (e.g. past identifiers and locations).<br/><br/>(e.g. Changes of ownership and transfers between collections by sale, splitting or merging of collections).",,,Class,SpecimenUnit,True,True,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit,,PreviousUnits,2005-09-09,2005-09-09,
PreviousUnit-@sequence,sequence,A number indicating the sequence of previous units that held the specimen.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/@sequence,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnitGUID,PreviousUnitGUID,A globally unique identifier for previous unit.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousUnitGUID,,PreviousUnit,2006-10-09,2006-10-09,added in 2.06a
PreviousSourceInstitutionID,PreviousSourceInstitutionID,Name or code of the institution previously holding this specimen.<br/><br/>,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousSourceInstitutionID,,PreviousUnit,2005-09-09,2005-09-09,
PreviousSourceID,PreviousSourceID,The name or code of a collection previously holding this specimen.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousSourceID,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnitID,PreviousUnitID,"The identifier of the specimen in a previous collection.<br/><br/>The number assigned to an accession by the donor. A FAO/IPGRI multi-crop passport descriptor (MCPD), description and examples taken from EURISCO descriptor list dated July 3, 2002.",,NGB1912,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousUnitID,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnit-Date,Date,Dates that the specimen was held by a previous collection.,,,Class,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnit-DateText,DateText,"A text version (alphabetic mixed case and integer) of the date(s) during which the unit was held by a previous collection. This element is meant for use when the date is imprecise, ambiguous or not in a form that satisfies the standard structured date format. It can also be used when it is important to record the verbatim representation of the date or when dates to be recorded are not completely legible. For example the day and month may be decipherable but not the year; the use of this field will allow recording of partially interpreted information. <br/><br/>This field can be used to record generalised date ranges and irresolvable ambiguity such as different day/month order conventions (e.g. US/Europe) or to allow for multiple dates and periods. <br/><br/>In the rare instances of dates for periods before the year 0000, BC and similar dates can be recorded in this field.",,"25 [?] 1925; 3/9/45 [ambiguous day month]; Spring 1912; Late 1800s; End of 19th Century; Mid 1978; Easter 1933; Post WW2; Before June 25, 2000; After June 25, 2000",Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/DateText,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-TimeZone,TimeZone,"The time zone to which the time-of-day data for the specimen's history refer.<br/><br/>Timezone expressed in minutes in accordance with the ""seven property model"" for date/time attributes in XML schema ( http://www.w3.org/TR/2004/WD-xmlschema11-2-20040716/#theSevenPropertyModel). <br/><br/> An integer between -840 and 840 inclusive (+/- 14 hours).",,+570; -300,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/TimeZone,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-ISODateTimeBegin,ISODateTimeBegin,"The exact date (and time) or beginning of a period during which a previous collection held the specimen, expressed in a modified ISO/ANSI 8601 standard structured date format.",The date format looks like this: YYYY-MM-DDTHH:MM:SS with flexible precision.,2005-04-10T17:34:56\n2005-04-10T17:34\n2005-04-10T17\n2005-04-10\n2005-04\n2005,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/ISODateTimeBegin,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-DayNumberBegin,DayNumberBegin,"The Julian day number (or sequential day) in the year for the exact date or for the beginning day of a period during which a previous collection held the specimen. The year is given in ISO-Date-Time-Begin. <br/><br/>The content range is 1-365 for normal years, 366 for leap years. <br/><br/>Maps to Darwin Core 2: Julian Day.",,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/DayNumberBegin,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-TimeOfDayBegin,TimeOfDayBegin,"Time of day in decimal hours from midnight local time for an exact point in time or for the beginning of a time period during which the specimen was held by a previous collection. <br/><br/>This field may apply to times of collecting where this is considered important. <br/><br/>Note that times are decimial hours: 13.5 represents 1:30 pm, not 1:05 pm, nor 1:50 pm. <br/><br/>Maps to Darwin Core 2: Time of Day",,13.5; 04.25,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/TimeOfDayBegin,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-ISODateTimeEnd,ISODateTimeEnd,"The end of the period during which the specimen was held by a previous collection, expressed in a modified ISO/ANSI 8601 standard structured date format.",The date format looks like this: YYYY-MM-DDTHH:MM:SS with flexible precision.,2005-04-10T17:34:56\n2005-04-10T17:34\n2005-04-10T17\n2005-04-10\n2005-04\n2005,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/ISODateTimeEnd,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-DayNumberEnd,DayNumberEnd,"The Julian day number (sequential day within the year) of the last day that the specimen was held by a previous collection.<br/><br/>The year is given in ISO {{{DateTimeEnd}}}.<br/><br/>The content range is 1-365 for normal years, 366 for leap years.",,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/DayNumberEnd,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-TimeOfDayEnd,TimeOfDayEnd,"The time of day in decimal hours from midnight local time for the end of the period during which the specimen was held by the previous collection.<br/><br/>Note that times are decimal hours: 13.5 represents 1:30 pm, not 1:05 pm, nor 1:50 pm.",,13.5; 04.25,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/TimeOfDayEnd,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-PeriodExplicit,PeriodExplicit,"This is an indicator for the expliciteness of the period recorded here as the time during which a specimen was held by a previous collection. <br/><br/>This is set to 'true' if the specimen was held during the period indicated. It is set to 'false' if the specimen was held by the collection at some point of time during the period, and is not filled if unknown or if no period is specified.",,true;false,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Date/PeriodExplicit,,PreviousUnit-Date,2005-09-09,2005-09-09,
PreviousUnit-Comment,Comment,Any further information about this specimen in its previous collection.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Comment,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnit-Comment-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/Comment/@language,,PreviousUnit-Comment,2005-09-09,2005-09-09,
PreviousUnitText,PreviousUnitText,Alternative text identifying the previous unit when no ABCD standard IDs can be assigned.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousUnitText,,PreviousUnit,2005-09-09,2005-09-09,
PreviousUnitText-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousUnitText/@language,,PreviousUnitText,2005-09-09,2005-09-09,
PreviousUnitsText,PreviousUnitsText,An alternative text identifying the previous units.,,,Property,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnitsText,,SpecimenUnit-History,2005-09-09,2005-09-09,
SpecimenUnit-NomenclaturalTypeDesignations,NomenclaturalTypeDesignations,A container element for several nomenclatural type designations.,,,Class,SpecimenUnit,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations,,SpecimenUnit,2005-09-09,2005-09-09,
SpecimenUnit-NomenclaturalTypeDesignation,NomenclaturalTypeDesignation,Information on the type status of the specimen.,,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,True,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation,,SpecimenUnit-NomenclaturalTypeDesignations,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName,TypifiedName,The name based on the specimen.,,Bauhinia divaricata L.,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName,,SpecimenUnit-NomenclaturalTypeDesignation,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-FullScientificNameString,FullScientificNameString,"A concatenated scientific name for the nomenclatural type designation for the specimen, preferrably fully formed in accordance with a Code of Nomenclature (i. e. a monomial, bionomial, or trinomial plus author(s) or author team(s) and - where relevant - year), or the name of a cultivar or cultivar group.",,Acipenser gueldenstadti Linnaeus 1758,Property,SpecimenUnit-NomenclaturalTypeDesignation,True,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/FullScientificNameString,,SpecimenUnit-TypifiedName,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-NameAtomised,NameAtomised,"Atomised data items of the taxon identified as the nomenclatural type designation for the specimen, with subtypes according to the different Codes of Nomenclature which apply to scientific names.",,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised,,SpecimenUnit-TypifiedName,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Botanical,Botanical,"Atomised botanical name for the nomenclatural type designation for the specimen, with elements according to the International Code of Botanical Nomenclature.",,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical,,SpecimenUnit-TypifiedName-NameAtomised,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Botanical-GenusOrMonomial,GenusOrMonomial,"One of the following, representing the genus, or higher taxon name, that is part of the nomenclatural type designation for the unit.<br/><br/>A generic name as a botanical scientific name or as part of it. <br/><br/>A generic name under one of the established nomenclatural codes <br/><br/>A manuscript name <br/><br/>An intergeneric hybrid name under the ICBN, without the leading multiplication sign, <br/><br/>The name of an intergeneric graft hybrid or graft chimaera, published under the Cultivated Code. <br/><br/>Rules: <br/><br/>1. First letter capitalised. <br/><br/>2. No spaces included.",,Abies; Halimiocistus; Crataegomespilus,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/GenusOrMonomial,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-FirstEpithet,FirstEpithet,The first epithet in a botanical name combination that is the nomenclatural type designation for the specimen (i.e. the epithet of a genus subdivision or a species epithet). <br/><br/>Rules: <br/><br/>1. No uppercase <br/><br/>2. No space,,alba,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/FirstEpithet,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-InfraspecificEpithet,InfraspecificEpithet,The final epithet of a botanical name of infraspecific rank that is part of the nomenclatural type designation for the specimen.<br/><br/>The infraspecific epithet (i.e. the epithet following the indication of the infraspecific rank in the name string (trinomial)). Rules: <br/><br/>1. No uppercase <br/><br/>2. No space,,,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/InfraspecificEpithet,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Rank,Rank,"The rank of the name that is the nomenclatural type designation for the specimen, where needed to form it. (i.e. in infraspecies and in names of a rank between genus and species).",,subgen.; subsp.,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/Rank,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-HybridFlag,HybridFlag,"A flag indicating that the unit identified is a named hybrid (""x"") or a graft chimaera (""+"").",,X\n+,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/HybridFlag,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-HybridFlag-@insertionpoint,insertionpoint,"This attribute specifies the name element in front of which the hybrid flag should be inserted (1 = before entire name, 2= before first epithet, 3 = before rank designation for second epithet.)",,1\n2\n3,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/HybridFlag/@insertionpoint,,SpecimenUnit-TypifiedName-HybridFlag,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-AuthorTeamParenthesis,AuthorTeamParenthesis,"Author team of the basionym of a combination that is the nomenclatural type designation for the specimen.<br/><br/>Author(s) of the original name for a taxon which has subsequently been revised but retains the same stem or epithet. May be preceded by a sanctioning author. If possible, preceding ""ex"" authors should be avoided.",,L.; Ames and Correll,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/AuthorTeamParenthesis,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-AuthorTeam,AuthorTeam,"The authors who published the full name as it stands that is the nomenclatural type designation for the specimen.<br/><br/>Author(s) for the taxonomic name combination (i.e. the author team of the new combination where there is a basionym, and the name author team where there is none). May be preceded by a sanctioning author. If possible, preceding ""ex"" authors should be avoided.",,DC.; Ames and Correll,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/AuthorTeam,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-CultivarGroupName,CultivarGroupName,"The cultivar group that is part of the nomenclatural type designation for the specimen, as specified in the ICNCP.",,Granny Smith Group,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/CultivarGroupName,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-CultivarName,CultivarName,"A cultivar name that is part of the nomenclatural type designation for the specimen, as specified by the ICNCP. <br/><br/>For output, cultivar names must be enclosed in single quotes.",,Firmgold; Granny Smith; Sturmer Pippin,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/CultivarName,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-TradeDesignationNames,TradeDesignationNames,A container for several trade names that are part of the nomenclatural type designation for the specimen.,,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/TradeDesignationNames,,SpecimenUnit-TypifiedName-Botanical,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-TradeDesignationName,TradeDesignationName,"A trade name used for a specific cultivar that is part of the nomenclatural type designation for the specimen, as specified by the ICNCP.",,,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,True,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Botanical/TradeDesignationNames/TradeDesignationName,,SpecimenUnit-TypifiedName-TradeDesignationNames,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Bacterial,Bacterial,"An atomised name for the nomenclatural type designation for the specimen, with elements according to the International Code of Nomenclature of Prokaryotes.",,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial,,SpecimenUnit-TypifiedName-NameAtomised,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Bacterial-GenusOrMonomial,GenusOrMonomial,A generic name as a bacterial scientific name or as part of it that is a nomenclatural type designation for the specimen. <br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included.,,Acetobacter,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/GenusOrMonomial,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Bacterial-Subgenus,Subgenus,A subgenus name as (part of) a bacterial scientific name that is a nomenclatural type designation for the specimen. <br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included.,,Gluconoacetobacter,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/Subgenus,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-SubgenusAuthorAndYear,SubgenusAuthorAndYear,Author and year of the subgenus name that is part of the nomenclatural type designation for the specimen.,,Yamada and Kondo 1985,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/SubgenusAuthorAndYear,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Bacterial-SpeciesEpithet,SpeciesEpithet,"The first epithet occurring in a bacterial name (after genus and, optionally, subgenus names) as part of a nomenclatural type designation for the unit.",,liquefaciens,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/SpeciesEpithet,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Bacterial-SubspeciesEpithet,SubspeciesEpithet,"The second epithet of a bacterial name of subspecies rank (after Genus, optional subgenus, and species epithet) as part of a nomenclatural type designation for the specimen.",,aceti,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/SubspeciesEpithet,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-ParentheticalAuthorTeamAndYear,ParentheticalAuthorTeamAndYear,Author team and Year of the basionym of a species or subspecies combination as part of a nomenclatural type designation for the specimen. Author(s) of the original name for a taxon which has subsequently been revised but retains the same stem or epithet.,,Asai,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/ParentheticalAuthorTeamAndYear,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-AuthorTeamAndYear,AuthorTeamAndYear,"The author(s) who published the full name as it stands and the year of the nomenclatural type designation for the specimen. <br/><br/>Author(s) for the taxonomic name combination (i.e. the author team of the new combination where there is a basionym, and the name author team where there is none).",,Yamada and Kondo; Ames and Correll,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/AuthorTeamAndYear,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-NameApprobation,NameApprobation,"Approbation of the name that is part of the nomenclatural type designation for the specimen, according to an approved list, validation list,or validly published, paper in IJSB after 1980.",,,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Bacterial/NameApprobation,,SpecimenUnit-TypifiedName-Bacterial,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Viral,Viral,"Atomised viral name that is the nomenclatural type designation for the specimen, with elements according to the International Committee on Taxonomy of Viruses.",,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Viral,,SpecimenUnit-TypifiedName-NameAtomised,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Viral-GenusOrMonomial,GenusOrMonomial,"A genus or higher taxon name formed according to the code, as part of the nomenclatural type designation for the specimen (e.g. Comovirus). <br/><br/>A generic name as a scientific name of a virus or as part of it. <br/><br/>Rules: <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included",,Comovirus,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Viral/GenusOrMonomial,,SpecimenUnit-TypifiedName-Viral,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-ViralSpeciesDesignation,ViralSpeciesDesignation,"The formal name of a viral species, as part of the nomenclatural type designation for the specimen. (Examples: vaccinia virus; human herpes virus 2 (herpes simplex virus 2); poliovirus 1; Saccharomyces cerevisiae virus L-A; enterobacteria phage PRD1 [Source: ICTV]).",,vaccinia virus; human herpes virus 2 (herpes simplex virus 2); poliovirus 1; Saccharomyces cerevisiae virus L-A; enterobacteria phage PRD1,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Viral/ViralSpeciesDesignation,,SpecimenUnit-TypifiedName-Viral,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Acronym,Acronym,The accepted acronym for the virus that is part of the nomenclatural type designation for the specimen (e.g. PCV for Peanut Clump Virus).,,,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Viral/Acronym,,SpecimenUnit-TypifiedName-Viral,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Zoological,Zoological,"Atomized zoological name that is the nomenclatural type designation for the specimen, with elements according to the International Code of Zoological Nomenclature.",,,Class,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Zoological,,SpecimenUnit-TypifiedName-NameAtomised,2005-09-09,2005-09-09,
SpecimenUnit-TypifiedName-Zoological-GenusOrMonomial,GenusOrMonomial,A generic name as a zoological scientific name or as part of it that is used in the nomenclatural type designation for the specimen.<br/><br/>Rules <br/><br/>1. First letter capitalised <br/><br/>2. No spaces included.,,Cambarus,Property,SpecimenUnit-NomenclaturalTypeDesignation,False,False,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/NameAtomised/Zoological/GenusOrMonomial,,SpecimenUnit-TypifiedName-Zoological,2005-09-09,2005-09-09,
