term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
DataSet-Title,Title,A short concise title for the dataset.,,"Herbarium Berolinense, Berlin (B); 2015 Wildlife Survey on the Banks Peninsula, New Zealand",Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/Title,,DataSet-Representation,2005-09-09,2005-09-09,
DataSet-Description-Details,Details,Free-form text containing a longer description of the data source,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Details,,DataSet-Representation,2005-09-09,2005-09-09,
DataSet-Coverage,Coverage,"Free-form text terminology or descriptions available in the data source (geographic, taxonomic, etc.).",,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Coverage,,DataSet-Representation,2005-09-09,2005-09-09,
DataSet-Description-URI,URI,"The URL that points to an online source related to the data source, which may or may not serve as an updated version of the description data.",,http://www.example.com/index.html,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/URI,,DataSet-Representation,2005-09-09,2005-09-09,
DataSet-IconURI,IconURI,The URL of an icon/logo symbolizing the data source.,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/IconURI,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-Scope,Scope,Keyword list describing the scope of the data source.,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-GeoecologicalTerms,GeoecologicalTerms,A collection of terms describing the geoecological scope of the source queried by means of area names.,,World; Germany; Atlantic Ocean; Andes; Mountains,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms,,DataSet-Scope,2005-09-09,2005-09-09,
DataSet-GeoecologicalTerm,GeoEcologicalTerm,An area name describing the or part of the geoecological scope of the source queried.,,World; Americas; Atlantic Ocean; Andes; Mountains,Property,DataSet,True,True,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoecologicalTerm,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoEcologicalTerm,DataSet-GeoecologicalTerms,2005-09-09,2012-11-26,
DataSet-GeoecologicalTerm-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoecologicalTerm/@language,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoEcologicalTerm/@language,DataSet-GeoecologicalTerm,2005-09-09,2012-11-26,
DataSet-TaxonomicTerms,TaxonomicTerms,A container for taxonomic terms describing the data source. This may include scientific and common names of groups of organisms.,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms,,DataSet-Scope,2005-09-09,2005-09-09,
DataSet-TaxonomicTerm,TaxonomicTerm,"A scientific or common taxon name of higher rank, or another term for a group of organisms that serves to describe the - or part of the - taxonomic scope of the source queried. A list of recommended terms should be developed.",,,Property,DataSet,True,True,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/TaxonomicTerm,,DataSet-TaxonomicTerms,2005-09-09,2005-09-09,
DataSet-TaxonomicTerm-@language,language,The language of the taxonomic term.,"The value LA should be used for scientific names of organism groups formed in accordance with the respective Code of Nomenclature. \n\nThe value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",LA; EN; UND,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/TaxonomicTerm/@language,,DataSet-TaxonomicTerm,2005-09-09,2005-09-09,
DataSet-Version,Version,The number and date of the current version of the data source (particularly for citing purposes).,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Version,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-Major,Major,The major version number of the data source as defined by the content creators.,,1,Property,DataSet,True,False,/DataSets/DataSet/Metadata/Version/Major,,DataSet-Version,2005-09-09,2005-09-09,
DataSet-Minor,Minor,An optional minor version number for the data source.,,2,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Version/Minor,,DataSet-Version,2005-09-09,2005-09-09,
DataSet-Modifier,Modifier,"Unconstrained text specifying a status and an optional number for the data souce version. If this information is missing, release status is assumed.",,beta; alpha; rc/release candidate; internal,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Version/Modifier,,DataSet-Version,2005-09-09,2005-09-09,
DataSet-DateIssued,DateIssued,Publication date of the current dataset version. This date should be missing if the current version is not yet published,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Version/DateIssued,,DataSet-Version,2005-09-09,2005-09-09,
DataSet-RevisionData,RevisionData,"Creators, revision status, and dates of the entire data source from which the current dataset is derived.",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata/RevisionData,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-Creators,Creators,Author(s) or editor(s) of the data source.,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/RevisionData/Creators,,DataSet-RevisionData,2005-09-09,2005-09-09,
DataSet-Contributors,Contributors,Contributers or translators for the data source.,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/RevisionData/Contributors,,DataSet-RevisionData,2005-09-09,2005-09-09,
DataSet-RevisionData-DateCreated,DateCreated,Date/time when the data source was created.,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/RevisionData/DateCreated,,DataSet-RevisionData,2005-09-09,2005-09-09,
