termList,term
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/vernacularName
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/waterBody
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/year
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/behavior
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/dataGeneralizations
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/disposition
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/earliestGeochronologicalEra
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/establishmentMeans
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/fieldNotes
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/fieldNumber
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/footprintSRS
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/footprintWKT
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/fromLithostratigraphicUnit
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/geodeticDatum
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/georeferencedBy
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/georeferenceProtocol
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/georeferenceSources
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/georeferenceVerificationStatus
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/habitat
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/identificationQualifier
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/identificationVerificationStatus
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/identifiedBy
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/inCollection
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/inDataset
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/inDescribedPlace
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/informationWithheld
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/latestGeochronologicalEra
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/lifeStage
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/locationAccordingTo
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/measurementDeterminedBy
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/measurementMethod
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/measurementType
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/measurementUnit
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/occurrenceStatus
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/organismQuantityType
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/preparations
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/recordedBy
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/recordNumber
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/reproductiveCondition
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/sampleSizeUnit
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/samplingProtocol
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/sex
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/toTaxon
http://rs.tdwg.org/dwc/iri/,http://rs.tdwg.org/dwc/iri/typeStatus
